day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Orientation and setup,AI Orientation and Responsible Use,foundation,8,Python | Jupyter | VS Code | local/open models where practical,Confirm the approved workstation and create a responsible-AI readiness record.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
2,DAY_002,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Concept development,"AI Roles, Workflows, and Human Oversight",foundation,8,Python | Jupyter | VS Code | local/open models where practical,Map an AI task from request to accountable human approval.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
3,DAY_003,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Guided laboratory,Problem Framing and Success Criteria,foundation,8,Python | Jupyter | VS Code | local/open models where practical,Convert a vague business request into a measurable AI problem statement.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
4,DAY_004,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Guided laboratory,"Data Privacy, Classification, and Consent",foundation,8,Python | Jupyter | VS Code | local/open models where practical,Classify sample data and decide what may enter approved AI tools.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
5,DAY_005,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Applied practice,"Bias, Fairness, and Inclusive Design",foundation,8,Python | Jupyter | VS Code | local/open models where practical,Inspect a synthetic scenario for representation and unequal harm.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
6,DAY_006,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Applied practice,"AI Limitations, Hallucinations, and Verification",foundation,8,Python | Jupyter | VS Code | local/open models where practical,Test generated claims and build a claim-verification checklist.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
7,DAY_007,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Evaluation laboratory,Prompting Foundations and Safe Prompt Design,foundation,8,Python | Jupyter | VS Code | local/open models where practical,Write and compare structured prompts using synthetic information.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
8,DAY_008,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Safety and ethics review,"Heuristics, Models, and When Not to Use AI",foundation,8,Python | Jupyter | VS Code | local/open models where practical,Compare a transparent rule with a model-based approach.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
9,DAY_009,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Documentation and integration,Technical Documentation and Reproducibility,foundation,8,Python | Jupyter | VS Code | local/open models where practical,"Create a lab log, README, evidence structure, and AI disclosure.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
10,DAY_010,1,"Phase 1 — AI Orientation, Responsible Use, and Workstation Setup",Assessment and presentation,Orientation Assessment and Mini Project,foundation,8,Python | Jupyter | VS Code | local/open models where practical,Present a responsible-AI workflow and defend its controls.,"Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
