day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Ethics, Lab Isolation, and Security Foundations",Orientation and setup,Ethical Practice and Lab Isolation,foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Create a written authorization boundary and prove that Kali, Ubuntu, Windows evaluation VMs, Wireshark, and OWASP Juice Shop are isolated from production and third-party systems.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
2,DAY_002,1,"Ethics, Lab Isolation, and Security Foundations",Concept development,Authorization And Rules Of Engagement — Applied Baseline Lab,foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Complete a supervised applied lab for authorization and rules of engagement, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
3,DAY_003,1,"Ethics, Lab Isolation, and Security Foundations",Guided laboratory,Cia Triad And Security Objectives — Architecture and Components,foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Explain and demonstrate CIA triad and security objectives through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
4,DAY_004,1,"Ethics, Lab Isolation, and Security Foundations",Guided laboratory,Cia Triad And Security Objectives — Configuration Lab,foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Complete a supervised applied lab for CIA triad and security objectives, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
5,DAY_005,1,"Ethics, Lab Isolation, and Security Foundations",Applied practice,Asset Inventory And Data Classification — Design and Technique,foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Explain and demonstrate asset inventory and data classification through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
6,DAY_006,1,"Ethics, Lab Isolation, and Security Foundations",Operations and measurement,Asset Inventory And Data Classification — Operations and Measurement,foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Complete a supervised applied lab for asset inventory and data classification, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
7,DAY_007,1,"Ethics, Lab Isolation, and Security Foundations",Troubleshooting laboratory,Threat Modeling And Hardening Baselines — Troubleshooting and Failure Modes,foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Explain and demonstrate threat modeling and hardening baselines through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
8,DAY_008,1,"Ethics, Lab Isolation, and Security Foundations",Safety and quality review,"Threat Modeling And Hardening Baselines — Safety, Quality, and Verification",foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Complete a supervised applied lab for threat modeling and hardening baselines, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
9,DAY_009,1,"Ethics, Lab Isolation, and Security Foundations",Integration and documentation,"Ethics, Lab Isolation, and Security Foundations — Integration, Documentation, and Handover",foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Integrate the four ethics, lab isolation, and security foundations skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
10,DAY_010,1,"Ethics, Lab Isolation, and Security Foundations",Assessment and presentation,"Ethics, Lab Isolation, and Security Foundations — Assessment Project",foundation,8,VirtualBox | Kali Linux | Ubuntu/Windows VMs | Wireshark,"Plan, execute, verify, present, and safely close an assessment project covering the complete ethics, lab isolation, and security foundations phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
