day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,Electrical and Working-at-Height Safety,Orientation and setup,Electrical and Working-at-Height Safety,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Complete a supervised PPE, electrical, rigging-hardware, working-at-height, and exclusion-zone readiness check before any fixture is energized or suspended.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
2,DAY_002,1,Electrical and Working-at-Height Safety,Concept development,Ppe Exclusion Zones And Rescue Awareness — Applied Baseline Lab,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Complete a supervised applied lab for PPE exclusion zones and rescue awareness, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
3,DAY_003,1,Electrical and Working-at-Height Safety,Guided laboratory,Voltage Current Power And Energy — Architecture and Components,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Explain and demonstrate voltage current power and energy through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
4,DAY_004,1,Electrical and Working-at-Height Safety,Guided laboratory,Voltage Current Power And Energy — Configuration Lab,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Complete a supervised applied lab for voltage current power and energy, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
5,DAY_005,1,Electrical and Working-at-Height Safety,Applied practice,Load Calculations Circuits And Protection — Design and Technique,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Explain and demonstrate load calculations circuits and protection through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
6,DAY_006,1,Electrical and Working-at-Height Safety,Operations and measurement,Load Calculations Circuits And Protection — Operations and Measurement,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Complete a supervised applied lab for load calculations circuits and protection, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
7,DAY_007,1,Electrical and Working-at-Height Safety,Troubleshooting laboratory,Rated Hardware Secondary Safety And Inspection — Troubleshooting and Failure Modes,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Explain and demonstrate rated hardware secondary safety and inspection through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
8,DAY_008,1,Electrical and Working-at-Height Safety,Safety and quality review,"Rated Hardware Secondary Safety And Inspection — Safety, Quality, and Verification",foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Complete a supervised applied lab for rated hardware secondary safety and inspection, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
9,DAY_009,1,Electrical and Working-at-Height Safety,Integration and documentation,"Electrical and Working-at-Height Safety — Integration, Documentation, and Handover",foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Integrate the four electrical and working-at-height safety skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
10,DAY_010,1,Electrical and Working-at-Height Safety,Assessment and presentation,Electrical and Working-at-Height Safety — Assessment Project,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Plan, execute, verify, present, and safely close an assessment project covering the complete electrical and working-at-height safety phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
11,DAY_011,2,Lighting Fundamentals and Photometrics,Orientation and setup,Light Intensity Illuminance And Distance — Foundations and Vocabulary,foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Explain and demonstrate light intensity illuminance and distance through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
