day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Safety, Hearing, and Signal Workflow",Orientation and setup,"Safety, Hearing Protection, and Workflow",foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Complete a supervised hearing, electrical, cable, lifting, gain-at-minimum, and emergency mute readiness check before producing amplified sound.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
2,DAY_002,1,"Safety, Hearing, and Signal Workflow",Concept development,Hearing Conservation And Spl Exposure — Applied Baseline Lab,foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Complete a supervised applied lab for hearing conservation and SPL exposure, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
3,DAY_003,1,"Safety, Hearing, and Signal Workflow",Guided laboratory,Electrical Cable And Lifting Safety — Architecture and Components,foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Explain and demonstrate electrical cable and lifting safety through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
4,DAY_004,1,"Safety, Hearing, and Signal Workflow",Guided laboratory,Electrical Cable And Lifting Safety — Configuration Lab,foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Complete a supervised applied lab for electrical cable and lifting safety, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
5,DAY_005,1,"Safety, Hearing, and Signal Workflow",Applied practice,Signal Flow And Mute-Before-Connect — Design and Technique,foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Explain and demonstrate signal flow and mute-before-connect through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
6,DAY_006,1,"Safety, Hearing, and Signal Workflow",Operations and measurement,Signal Flow And Mute-Before-Connect — Operations and Measurement,foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Complete a supervised applied lab for signal flow and mute-before-connect, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
7,DAY_007,1,"Safety, Hearing, and Signal Workflow",Troubleshooting laboratory,Roles Communication And Emergency Response — Troubleshooting and Failure Modes,foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Explain and demonstrate roles communication and emergency response through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
8,DAY_008,1,"Safety, Hearing, and Signal Workflow",Safety and quality review,"Roles Communication And Emergency Response — Safety, Quality, and Verification",foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Complete a supervised applied lab for roles communication and emergency response, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
9,DAY_009,1,"Safety, Hearing, and Signal Workflow",Integration and documentation,"Safety, Hearing, and Signal Workflow — Integration, Documentation, and Handover",foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Integrate the four safety, hearing, and signal workflow skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
10,DAY_010,1,"Safety, Hearing, and Signal Workflow",Assessment and presentation,"Safety, Hearing, and Signal Workflow — Assessment Project",foundation,8,Beyond mixers | microphones | PPE | Beyond audio system | SPL meter | checklists,"Plan, execute, verify, present, and safely close an assessment project covering the complete safety, hearing, and signal workflow phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
11,DAY_011,2,Audio Fundamentals,Orientation and setup,Frequency Amplitude Phase And Wavelength — Foundations and Vocabulary,foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Explain and demonstrate frequency amplitude phase and wavelength through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
12,DAY_012,2,Audio Fundamentals,Concept development,Frequency Amplitude Phase And Wavelength — Applied Baseline Lab,foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Complete a supervised applied lab for frequency amplitude phase and wavelength, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
13,DAY_013,2,Audio Fundamentals,Guided laboratory,Decibels Voltage Power And Spl — Architecture and Components,foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Explain and demonstrate decibels voltage power and SPL through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
14,DAY_014,2,Audio Fundamentals,Guided laboratory,Decibels Voltage Power And Spl — Configuration Lab,foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Complete a supervised applied lab for decibels voltage power and SPL, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
15,DAY_015,2,Audio Fundamentals,Applied practice,Analog Digital And Sampling Concepts — Design and Technique,foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Explain and demonstrate analog digital and sampling concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
16,DAY_016,2,Audio Fundamentals,Operations and measurement,Analog Digital And Sampling Concepts — Operations and Measurement,foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Complete a supervised applied lab for analog digital and sampling concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
17,DAY_017,2,Audio Fundamentals,Troubleshooting laboratory,Measurement Uncertainty And Listening Bias — Troubleshooting and Failure Modes,foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Explain and demonstrate measurement uncertainty and listening bias through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
18,DAY_018,2,Audio Fundamentals,Safety and quality review,"Measurement Uncertainty And Listening Bias — Safety, Quality, and Verification",foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Complete a supervised applied lab for measurement uncertainty and listening bias, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
19,DAY_019,2,Audio Fundamentals,Integration and documentation,"Audio Fundamentals — Integration, Documentation, and Handover",foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Integrate the four audio fundamentals skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
20,DAY_020,2,Audio Fundamentals,Assessment and presentation,Audio Fundamentals — Assessment Project,foundation,8,Beyond mixers | microphones | audio software | signal generator | SPL meter | mixer,"Plan, execute, verify, present, and safely close an assessment project covering the complete audio fundamentals phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
21,DAY_021,3,"Cables, Connectors, and DI Boxes",Orientation and setup,Balanced And Unbalanced Signals — Foundations and Vocabulary,foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Explain and demonstrate balanced and unbalanced signals through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
22,DAY_022,3,"Cables, Connectors, and DI Boxes",Concept development,Balanced And Unbalanced Signals — Applied Baseline Lab,foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Complete a supervised applied lab for balanced and unbalanced signals, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
23,DAY_023,3,"Cables, Connectors, and DI Boxes",Guided laboratory,Xlr Trs Ts Rca And Digital Connectors — Architecture and Components,foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Explain and demonstrate XLR TRS TS RCA and digital connectors through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
24,DAY_024,3,"Cables, Connectors, and DI Boxes",Guided laboratory,Xlr Trs Ts Rca And Digital Connectors — Configuration Lab,foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Complete a supervised applied lab for XLR TRS TS RCA and digital connectors, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
25,DAY_025,3,"Cables, Connectors, and DI Boxes",Applied practice,Di Boxes Impedance And Ground Isolation — Design and Technique,foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Explain and demonstrate DI boxes impedance and ground isolation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
26,DAY_026,3,"Cables, Connectors, and DI Boxes",Operations and measurement,Di Boxes Impedance And Ground Isolation — Operations and Measurement,foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Complete a supervised applied lab for DI boxes impedance and ground isolation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
27,DAY_027,3,"Cables, Connectors, and DI Boxes",Troubleshooting laboratory,Cable Testing Labeling And Care — Troubleshooting and Failure Modes,foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Explain and demonstrate cable testing labeling and care through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
