day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Orientation and setup,Cloud Concepts and Responsible Free-Tier Use,foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,"Create an authorized cloud-lab readiness record, cost guardrails, and cleanup checklist.","Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
2,DAY_002,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Concept development,"Cloud Service Models: IaaS, PaaS, and SaaS",foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,Classify common services and justify the correct service model for sample requirements.,"Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
3,DAY_003,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Guided laboratory,"Public, Private, Hybrid, and Multi-Cloud Models",foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,"Map deployment models to fictional business, control, and connectivity needs.","Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
4,DAY_004,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Guided laboratory,"Regions, Availability Zones, Edge, and Latency",foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,"Select a hypothetical region using latency, residency, availability, and cost criteria.","Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
5,DAY_005,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Applied practice,Shared Responsibility and Cloud Governance,foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,Build a responsibility matrix separating provider and customer duties.,"Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
6,DAY_006,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Applied practice,"Cloud Accounts, Tenants, Subscriptions, and Projects",foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,Design an account hierarchy for labs without creating paid or production resources.,"Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
7,DAY_007,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Evaluation laboratory,IAM Foundations and Least Privilege,foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,Create a paper/local role matrix and test least-privilege decisions.,"Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
8,DAY_008,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Safety and operations review,Cloud Networking and Security Group Concepts,foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,Draw a simple virtual network and identify allowed and denied traffic.,"Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
9,DAY_009,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Documentation and integration,"Containers, Images, Virtual Machines, and Serverless",foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,"Compare isolation, operations, startup, cost, and use cases.","Setup evidence, completed lab artifact, independent verification, cost/cleanup record, safety check, and short technical report."
10,DAY_010,1,"Phase 1 — Cloud Orientation, Responsibility, and Cost Safety",Assessment and presentation,Orientation Assessment and Cost-Safe Mini Project,foundation,8,VirtualBox | Docker | GitHub | free tiers or local cloud emulators,"Present a governed cloud-lab design with budget, IAM, network, and cleanup controls.","Assessment demonstration, reproducible project package, architecture/security/cost evidence, verified cleanup, and technical report."
