day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Workstation, Workflow, and Secure Development",Orientation and setup,Developer Workstation Setup,foundation,8,VS Code | Git | GitHub | language runtimes,"Configure the approved editor, Git workflow, language runtime, local database, and test command without committing secrets or deploying to shared systems.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
2,DAY_002,1,"Workstation, Workflow, and Secure Development",Concept development,Developer Environment And Package Managers — Applied Baseline Lab,foundation,8,VS Code | Git | GitHub | language runtimes,"Complete a supervised applied lab for developer environment and package managers, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
3,DAY_003,1,"Workstation, Workflow, and Secure Development",Guided laboratory,Git Repositories Commits And Branches — Architecture and Components,foundation,8,VS Code | Git | GitHub | language runtimes,"Explain and demonstrate Git repositories commits and branches through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
4,DAY_004,1,"Workstation, Workflow, and Secure Development",Guided laboratory,Git Repositories Commits And Branches — Configuration Lab,foundation,8,VS Code | Git | GitHub | language runtimes,"Complete a supervised applied lab for Git repositories commits and branches, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
5,DAY_005,1,"Workstation, Workflow, and Secure Development",Applied practice,Secrets Environment Files And Configuration — Design and Technique,foundation,8,VS Code | Git | GitHub | language runtimes,"Explain and demonstrate secrets environment files and configuration through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
6,DAY_006,1,"Workstation, Workflow, and Secure Development",Operations and measurement,Secrets Environment Files And Configuration — Operations and Measurement,foundation,8,VS Code | Git | GitHub | language runtimes,"Complete a supervised applied lab for secrets environment files and configuration, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
7,DAY_007,1,"Workstation, Workflow, and Secure Development",Troubleshooting laboratory,Documentation Debugging And Evidence — Troubleshooting and Failure Modes,foundation,8,VS Code | Git | GitHub | language runtimes,"Explain and demonstrate documentation debugging and evidence through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
8,DAY_008,1,"Workstation, Workflow, and Secure Development",Safety and quality review,"Documentation Debugging And Evidence — Safety, Quality, and Verification",foundation,8,VS Code | Git | GitHub | language runtimes,"Complete a supervised applied lab for documentation debugging and evidence, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
9,DAY_009,1,"Workstation, Workflow, and Secure Development",Integration and documentation,"Workstation, Workflow, and Secure Development — Integration, Documentation, and Handover",foundation,8,VS Code | Git | GitHub | language runtimes,"Integrate the four workstation, workflow, and secure development skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
10,DAY_010,1,"Workstation, Workflow, and Secure Development",Assessment and presentation,"Workstation, Workflow, and Secure Development — Assessment Project",foundation,8,VS Code | Git | GitHub | language runtimes,"Plan, execute, verify, present, and safely close an assessment project covering the complete workstation, workflow, and secure development phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
11,DAY_011,2,Programming Foundations,Orientation and setup,Variables Types And Expressions — Foundations and Vocabulary,foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Explain and demonstrate variables types and expressions through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
12,DAY_012,2,Programming Foundations,Concept development,Variables Types And Expressions — Applied Baseline Lab,foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Complete a supervised applied lab for variables types and expressions, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
13,DAY_013,2,Programming Foundations,Guided laboratory,Conditions Loops And Functions — Architecture and Components,foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Explain and demonstrate conditions loops and functions through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
14,DAY_014,2,Programming Foundations,Guided laboratory,Conditions Loops And Functions — Configuration Lab,foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Complete a supervised applied lab for conditions loops and functions, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
15,DAY_015,2,Programming Foundations,Applied practice,Collections Strings And Files — Design and Technique,foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Explain and demonstrate collections strings and files through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
16,DAY_016,2,Programming Foundations,Operations and measurement,Collections Strings And Files — Operations and Measurement,foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Complete a supervised applied lab for collections strings and files, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
17,DAY_017,2,Programming Foundations,Troubleshooting laboratory,Exceptions Modules And Tests — Troubleshooting and Failure Modes,foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Explain and demonstrate exceptions modules and tests through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
18,DAY_018,2,Programming Foundations,Safety and quality review,"Exceptions Modules And Tests — Safety, Quality, and Verification",foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Complete a supervised applied lab for exceptions modules and tests, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
19,DAY_019,2,Programming Foundations,Integration and documentation,"Programming Foundations — Integration, Documentation, and Handover",foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Integrate the four programming foundations skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
20,DAY_020,2,Programming Foundations,Assessment and presentation,Programming Foundations — Assessment Project,foundation,8,VS Code | Git | Python/JavaScript | pytest/Jest,"Plan, execute, verify, present, and safely close an assessment project covering the complete programming foundations phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
21,DAY_021,3,Object-Oriented and Modular Design,Orientation and setup,Classes Objects And Encapsulation — Foundations and Vocabulary,foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Explain and demonstrate classes objects and encapsulation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
22,DAY_022,3,Object-Oriented and Modular Design,Concept development,Classes Objects And Encapsulation — Applied Baseline Lab,foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Complete a supervised applied lab for classes objects and encapsulation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
23,DAY_023,3,Object-Oriented and Modular Design,Guided laboratory,Interfaces Inheritance And Composition — Architecture and Components,foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Explain and demonstrate interfaces inheritance and composition through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
24,DAY_024,3,Object-Oriented and Modular Design,Guided laboratory,Interfaces Inheritance And Composition — Configuration Lab,foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Complete a supervised applied lab for interfaces inheritance and composition, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
25,DAY_025,3,Object-Oriented and Modular Design,Applied practice,Modules Packages And Dependencies — Design and Technique,foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Explain and demonstrate modules packages and dependencies through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
26,DAY_026,3,Object-Oriented and Modular Design,Operations and measurement,Modules Packages And Dependencies — Operations and Measurement,foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Complete a supervised applied lab for modules packages and dependencies, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
27,DAY_027,3,Object-Oriented and Modular Design,Troubleshooting laboratory,Solid Principles And Refactoring — Troubleshooting and Failure Modes,foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Explain and demonstrate SOLID principles and refactoring through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
28,DAY_028,3,Object-Oriented and Modular Design,Safety and quality review,"Solid Principles And Refactoring — Safety, Quality, and Verification",foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Complete a supervised applied lab for SOLID principles and refactoring, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
29,DAY_029,3,Object-Oriented and Modular Design,Integration and documentation,"Object-Oriented and Modular Design — Integration, Documentation, and Handover",foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Integrate the four object-oriented and modular design skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
30,DAY_030,3,Object-Oriented and Modular Design,Assessment and presentation,Object-Oriented and Modular Design — Assessment Project,foundation,8,VS Code | Git | Python/JavaScript/Java | test framework,"Plan, execute, verify, present, and safely close an assessment project covering the complete object-oriented and modular design phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
31,DAY_031,4,Algorithms and Data Structures,Orientation and setup,Complexity And Measurement — Foundations and Vocabulary,foundation-to-intermediate,8,VS Code | Git | language runtime | test framework,"Explain and demonstrate complexity and measurement through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
32,DAY_032,4,Algorithms and Data Structures,Concept development,Complexity And Measurement — Applied Baseline Lab,foundation-to-intermediate,8,VS Code | Git | language runtime | test framework,"Complete a supervised applied lab for complexity and measurement, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
33,DAY_033,4,Algorithms and Data Structures,Guided laboratory,Arrays Lists Stacks And Queues — Architecture and Components,foundation-to-intermediate,8,VS Code | Git | language runtime | test framework,"Explain and demonstrate arrays lists stacks and queues through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
