day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Workstation, Virtualization, and Network Safety",Orientation and setup,Workstation and Virtualization Setup,foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,Configure Packet Tracer/VirtualBox/Wireshark on the authorized workstation and prove the lab network is isolated from production and shared infrastructure.,"Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
2,DAY_002,1,"Workstation, Virtualization, and Network Safety",Concept development,Authorization Lab Isolation And Rollback — Applied Baseline Lab,foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Complete a supervised applied lab for authorization lab isolation and rollback, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
3,DAY_003,1,"Workstation, Virtualization, and Network Safety",Guided laboratory,Packet Tracer And Vm Setup — Architecture and Components,foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Explain and demonstrate Packet Tracer and VM setup through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
4,DAY_004,1,"Workstation, Virtualization, and Network Safety",Guided laboratory,Packet Tracer And Vm Setup — Configuration Lab,foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Complete a supervised applied lab for Packet Tracer and VM setup, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
5,DAY_005,1,"Workstation, Virtualization, and Network Safety",Applied practice,Wireshark Capture Boundaries — Design and Technique,foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Explain and demonstrate Wireshark capture boundaries through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
6,DAY_006,1,"Workstation, Virtualization, and Network Safety",Operations and measurement,Wireshark Capture Boundaries — Operations and Measurement,foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Complete a supervised applied lab for Wireshark capture boundaries, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
7,DAY_007,1,"Workstation, Virtualization, and Network Safety",Troubleshooting laboratory,Asset Inventory And Diagram Standards — Troubleshooting and Failure Modes,foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Explain and demonstrate asset inventory and diagram standards through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
8,DAY_008,1,"Workstation, Virtualization, and Network Safety",Safety and quality review,"Asset Inventory And Diagram Standards — Safety, Quality, and Verification",foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Complete a supervised applied lab for asset inventory and diagram standards, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
9,DAY_009,1,"Workstation, Virtualization, and Network Safety",Integration and documentation,"Workstation, Virtualization, and Network Safety — Integration, Documentation, and Handover",foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Integrate the four workstation, virtualization, and network safety skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
10,DAY_010,1,"Workstation, Virtualization, and Network Safety",Assessment and presentation,"Workstation, Virtualization, and Network Safety — Assessment Project",foundation,8,Packet Tracer | VirtualBox | Wireshark | Git,"Plan, execute, verify, present, and safely close an assessment project covering the complete workstation, virtualization, and network safety phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
11,DAY_011,2,Network Models and Ethernet,Orientation and setup,Osi And Tcp/Ip Models — Foundations and Vocabulary,foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Explain and demonstrate OSI and TCP/IP models through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
12,DAY_012,2,Network Models and Ethernet,Concept development,Osi And Tcp/Ip Models — Applied Baseline Lab,foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Complete a supervised applied lab for OSI and TCP/IP models, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
13,DAY_013,2,Network Models and Ethernet,Guided laboratory,Frames Mac Addressing And Arp — Architecture and Components,foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Explain and demonstrate frames MAC addressing and ARP through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
14,DAY_014,2,Network Models and Ethernet,Guided laboratory,Frames Mac Addressing And Arp — Configuration Lab,foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Complete a supervised applied lab for frames MAC addressing and ARP, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
15,DAY_015,2,Network Models and Ethernet,Applied practice,Switch Forwarding And Collision Domains — Design and Technique,foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Explain and demonstrate switch forwarding and collision domains through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
16,DAY_016,2,Network Models and Ethernet,Operations and measurement,Switch Forwarding And Collision Domains — Operations and Measurement,foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Complete a supervised applied lab for switch forwarding and collision domains, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
