day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Workflow, Ethics, and Reproducible Setup",Orientation and setup,Data Science Workflow,foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Set up the approved Python/Jupyter workspace and demonstrate the path from a public or synthetic raw dataset to a documented question, validation check, and reproducible result.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
2,DAY_002,1,"Workflow, Ethics, and Reproducible Setup",Concept development,Data Science Lifecycle And Problem Framing — Applied Baseline Lab,foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Complete a supervised applied lab for data science lifecycle and problem framing, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
3,DAY_003,1,"Workflow, Ethics, and Reproducible Setup",Guided laboratory,Data Ethics Privacy And Consent — Architecture and Components,foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Explain and demonstrate data ethics privacy and consent through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
4,DAY_004,1,"Workflow, Ethics, and Reproducible Setup",Guided laboratory,Data Ethics Privacy And Consent — Configuration Lab,foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Complete a supervised applied lab for data ethics privacy and consent, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
5,DAY_005,1,"Workflow, Ethics, and Reproducible Setup",Applied practice,Project Folders Environments And Notebooks — Design and Technique,foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Explain and demonstrate project folders environments and notebooks through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
6,DAY_006,1,"Workflow, Ethics, and Reproducible Setup",Operations and measurement,Project Folders Environments And Notebooks — Operations and Measurement,foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Complete a supervised applied lab for project folders environments and notebooks, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
7,DAY_007,1,"Workflow, Ethics, and Reproducible Setup",Troubleshooting laboratory,Evidence Provenance And Reproducibility — Troubleshooting and Failure Modes,foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Explain and demonstrate evidence provenance and reproducibility through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
8,DAY_008,1,"Workflow, Ethics, and Reproducible Setup",Safety and quality review,"Evidence Provenance And Reproducibility — Safety, Quality, and Verification",foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Complete a supervised applied lab for evidence provenance and reproducibility, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
9,DAY_009,1,"Workflow, Ethics, and Reproducible Setup",Integration and documentation,"Workflow, Ethics, and Reproducible Setup — Integration, Documentation, and Handover",foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Integrate the four workflow, ethics, and reproducible setup skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
10,DAY_010,1,"Workflow, Ethics, and Reproducible Setup",Assessment and presentation,"Workflow, Ethics, and Reproducible Setup — Assessment Project",foundation,8,Python | Jupyter | pandas | LibreOffice Calc,"Plan, execute, verify, present, and safely close an assessment project covering the complete workflow, ethics, and reproducible setup phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
11,DAY_011,2,Python for Data Analysis,Orientation and setup,Python Types And Control Flow — Foundations and Vocabulary,foundation,8,Python | Jupyter | VS Code | Git,"Explain and demonstrate Python types and control flow through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
12,DAY_012,2,Python for Data Analysis,Concept development,Python Types And Control Flow — Applied Baseline Lab,foundation,8,Python | Jupyter | VS Code | Git,"Complete a supervised applied lab for Python types and control flow, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
13,DAY_013,2,Python for Data Analysis,Guided laboratory,Functions Modules And Exceptions — Architecture and Components,foundation,8,Python | Jupyter | VS Code | Git,"Explain and demonstrate functions modules and exceptions through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
14,DAY_014,2,Python for Data Analysis,Guided laboratory,Functions Modules And Exceptions — Configuration Lab,foundation,8,Python | Jupyter | VS Code | Git,"Complete a supervised applied lab for functions modules and exceptions, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
15,DAY_015,2,Python for Data Analysis,Applied practice,Lists Dictionaries And File Handling — Design and Technique,foundation,8,Python | Jupyter | VS Code | Git,"Explain and demonstrate lists dictionaries and file handling through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
16,DAY_016,2,Python for Data Analysis,Operations and measurement,Lists Dictionaries And File Handling — Operations and Measurement,foundation,8,Python | Jupyter | VS Code | Git,"Complete a supervised applied lab for lists dictionaries and file handling, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
17,DAY_017,2,Python for Data Analysis,Troubleshooting laboratory,Testing Logging And Virtual Environments — Troubleshooting and Failure Modes,foundation,8,Python | Jupyter | VS Code | Git,"Explain and demonstrate testing logging and virtual environments through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
18,DAY_018,2,Python for Data Analysis,Safety and quality review,"Testing Logging And Virtual Environments — Safety, Quality, and Verification",foundation,8,Python | Jupyter | VS Code | Git,"Complete a supervised applied lab for testing logging and virtual environments, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
19,DAY_019,2,Python for Data Analysis,Integration and documentation,"Python for Data Analysis — Integration, Documentation, and Handover",foundation,8,Python | Jupyter | VS Code | Git,"Integrate the four python for data analysis skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
20,DAY_020,2,Python for Data Analysis,Assessment and presentation,Python for Data Analysis — Assessment Project,foundation,8,Python | Jupyter | VS Code | Git,"Plan, execute, verify, present, and safely close an assessment project covering the complete python for data analysis phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
21,DAY_021,3,Mathematics for Data Science,Orientation and setup,Vectors Matrices And Array Shapes — Foundations and Vocabulary,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Explain and demonstrate vectors matrices and array shapes through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
22,DAY_022,3,Mathematics for Data Science,Concept development,Vectors Matrices And Array Shapes — Applied Baseline Lab,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Complete a supervised applied lab for vectors matrices and array shapes, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
23,DAY_023,3,Mathematics for Data Science,Guided laboratory,Functions Slopes And Optimization — Architecture and Components,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Explain and demonstrate functions slopes and optimization through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
24,DAY_024,3,Mathematics for Data Science,Guided laboratory,Functions Slopes And Optimization — Configuration Lab,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Complete a supervised applied lab for functions slopes and optimization, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
25,DAY_025,3,Mathematics for Data Science,Applied practice,Probability And Random Variables — Design and Technique,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Explain and demonstrate probability and random variables through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
26,DAY_026,3,Mathematics for Data Science,Operations and measurement,Probability And Random Variables — Operations and Measurement,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Complete a supervised applied lab for probability and random variables, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
27,DAY_027,3,Mathematics for Data Science,Troubleshooting laboratory,Linear Algebra For Models — Troubleshooting and Failure Modes,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Explain and demonstrate linear algebra for models through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
28,DAY_028,3,Mathematics for Data Science,Safety and quality review,"Linear Algebra For Models — Safety, Quality, and Verification",foundation,8,Python | Jupyter | NumPy | Matplotlib,"Complete a supervised applied lab for linear algebra for models, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
29,DAY_029,3,Mathematics for Data Science,Integration and documentation,"Mathematics for Data Science — Integration, Documentation, and Handover",foundation,8,Python | Jupyter | NumPy | Matplotlib,"Integrate the four mathematics for data science skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
30,DAY_030,3,Mathematics for Data Science,Assessment and presentation,Mathematics for Data Science — Assessment Project,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Plan, execute, verify, present, and safely close an assessment project covering the complete mathematics for data science phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
31,DAY_031,4,Statistics Foundations,Orientation and setup,Descriptive Statistics And Spread — Foundations and Vocabulary,foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Explain and demonstrate descriptive statistics and spread through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
32,DAY_032,4,Statistics Foundations,Concept development,Descriptive Statistics And Spread — Applied Baseline Lab,foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Complete a supervised applied lab for descriptive statistics and spread, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
33,DAY_033,4,Statistics Foundations,Guided laboratory,Sampling Estimation And Confidence — Architecture and Components,foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Explain and demonstrate sampling estimation and confidence through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
34,DAY_034,4,Statistics Foundations,Guided laboratory,Sampling Estimation And Confidence — Configuration Lab,foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Complete a supervised applied lab for sampling estimation and confidence, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
35,DAY_035,4,Statistics Foundations,Applied practice,Hypothesis Testing And Effect Size — Design and Technique,foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Explain and demonstrate hypothesis testing and effect size through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
36,DAY_036,4,Statistics Foundations,Operations and measurement,Hypothesis Testing And Effect Size — Operations and Measurement,foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Complete a supervised applied lab for hypothesis testing and effect size, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
37,DAY_037,4,Statistics Foundations,Troubleshooting laboratory,Correlation Causation And Confounding — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Explain and demonstrate correlation causation and confounding through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
38,DAY_038,4,Statistics Foundations,Safety and quality review,"Correlation Causation And Confounding — Safety, Quality, and Verification",foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Complete a supervised applied lab for correlation causation and confounding, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
39,DAY_039,4,Statistics Foundations,Integration and documentation,"Statistics Foundations — Integration, Documentation, and Handover",foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Integrate the four statistics foundations skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
40,DAY_040,4,Statistics Foundations,Assessment and presentation,Statistics Foundations — Assessment Project,foundation-to-intermediate,8,Python | Jupyter | SciPy | pandas | LibreOffice Calc,"Plan, execute, verify, present, and safely close an assessment project covering the complete statistics foundations phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
41,DAY_041,5,Data Acquisition and Provenance,Orientation and setup,Csv Json Spreadsheet And Database Sources — Foundations and Vocabulary,foundation-to-intermediate,8,Python | Jupyter | pandas | requests | SQLite | public datasets,"Explain and demonstrate CSV JSON spreadsheet and database sources through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
42,DAY_042,5,Data Acquisition and Provenance,Concept development,Csv Json Spreadsheet And Database Sources — Applied Baseline Lab,foundation-to-intermediate,8,Python | Jupyter | pandas | requests | SQLite | public datasets,"Complete a supervised applied lab for CSV JSON spreadsheet and database sources, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
43,DAY_043,5,Data Acquisition and Provenance,Guided laboratory,Apis Pagination And Rate Limits — Architecture and Components,foundation-to-intermediate,8,Python | Jupyter | pandas | requests | SQLite | public datasets,"Explain and demonstrate APIs pagination and rate limits through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
44,DAY_044,5,Data Acquisition and Provenance,Guided laboratory,Apis Pagination And Rate Limits — Configuration Lab,foundation-to-intermediate,8,Python | Jupyter | pandas | requests | SQLite | public datasets,"Complete a supervised applied lab for APIs pagination and rate limits, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
45,DAY_045,5,Data Acquisition and Provenance,Applied practice,Data Dictionaries Schemas And Metadata — Design and Technique,foundation-to-intermediate,8,Python | Jupyter | pandas | requests | SQLite | public datasets,"Explain and demonstrate data dictionaries schemas and metadata through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
46,DAY_046,5,Data Acquisition and Provenance,Operations and measurement,Data Dictionaries Schemas And Metadata — Operations and Measurement,foundation-to-intermediate,8,Python | Jupyter | pandas | requests | SQLite | public datasets,"Complete a supervised applied lab for data dictionaries schemas and metadata, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
47,DAY_047,5,Data Acquisition and Provenance,Troubleshooting laboratory,Licensing Consent And Source Quality — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Python | Jupyter | pandas | requests | SQLite | public datasets,"Explain and demonstrate licensing consent and source quality through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
