day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Safety, Etiquette, and Equipment Orientation",Orientation and setup,Communications Safety and Etiquette,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Inspect assigned intercom equipment, establish professional call etiquette, verify primary and backup talk paths, and document custody and battery controls.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
2,DAY_002,1,"Safety, Etiquette, and Equipment Orientation",Concept development,Professional Channel Language And Call Signs — Applied Baseline Lab,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Complete a supervised applied lab for professional channel language and call signs, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
3,DAY_003,1,"Safety, Etiquette, and Equipment Orientation",Guided laboratory,Ppe Hearing And Cable Safety — Architecture and Components,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Explain and demonstrate PPE hearing and cable safety through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
4,DAY_004,1,"Safety, Etiquette, and Equipment Orientation",Guided laboratory,Ppe Hearing And Cable Safety — Configuration Lab,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Complete a supervised applied lab for PPE hearing and cable safety, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
5,DAY_005,1,"Safety, Etiquette, and Equipment Orientation",Applied practice,Asset Custody Batteries And Charging — Design and Technique,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Explain and demonstrate asset custody batteries and charging through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
6,DAY_006,1,"Safety, Etiquette, and Equipment Orientation",Operations and measurement,Asset Custody Batteries And Charging — Operations and Measurement,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Complete a supervised applied lab for asset custody batteries and charging, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
7,DAY_007,1,"Safety, Etiquette, and Equipment Orientation",Troubleshooting laboratory,Primary Backup And Emergency Talk Paths — Troubleshooting and Failure Modes,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Explain and demonstrate primary backup and emergency talk paths through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
8,DAY_008,1,"Safety, Etiquette, and Equipment Orientation",Safety and quality review,"Primary Backup And Emergency Talk Paths — Safety, Quality, and Verification",foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Complete a supervised applied lab for primary backup and emergency talk paths, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
9,DAY_009,1,"Safety, Etiquette, and Equipment Orientation",Integration and documentation,"Safety, Etiquette, and Equipment Orientation — Integration, Documentation, and Handover",foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Integrate the four safety, etiquette, and equipment orientation skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
10,DAY_010,1,"Safety, Etiquette, and Equipment Orientation",Assessment and presentation,"Safety, Etiquette, and Equipment Orientation — Assessment Project",foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Plan, execute, verify, present, and safely close an assessment project covering the complete safety, etiquette, and equipment orientation phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
11,DAY_011,2,Communication Systems Fundamentals,Orientation and setup,Simplex Half-Duplex And Full-Duplex — Foundations and Vocabulary,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Explain and demonstrate simplex half-duplex and full-duplex through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
