day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Electrical, Lifting, and Screen Safety",Orientation and setup,"Electrical, Lifting, and Screen Safety",foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Complete a supervised electrical, lifting, stand/rigging, cable-trip, power-down, and exclusion-zone readiness check before installing or energizing screens and video equipment.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
2,DAY_002,1,"Electrical, Lifting, and Screen Safety",Concept development,Ppe Exclusion Zones And Supervised Lifting — Applied Baseline Lab,foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Complete a supervised applied lab for PPE exclusion zones and supervised lifting, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
3,DAY_003,1,"Electrical, Lifting, and Screen Safety",Guided laboratory,Power Load Grounding And Distribution — Architecture and Components,foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Explain and demonstrate power load grounding and distribution through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
4,DAY_004,1,"Electrical, Lifting, and Screen Safety",Guided laboratory,Power Load Grounding And Distribution — Configuration Lab,foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Complete a supervised applied lab for power load grounding and distribution, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
5,DAY_005,1,"Electrical, Lifting, and Screen Safety",Applied practice,Stands Frames Rated Hardware And Secondary Safety — Design and Technique,foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Explain and demonstrate stands frames rated hardware and secondary safety through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
6,DAY_006,1,"Electrical, Lifting, and Screen Safety",Operations and measurement,Stands Frames Rated Hardware And Secondary Safety — Operations and Measurement,foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Complete a supervised applied lab for stands frames rated hardware and secondary safety, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
7,DAY_007,1,"Electrical, Lifting, and Screen Safety",Troubleshooting laboratory,Cable Ramps Trip Control And Emergency Power-Down — Troubleshooting and Failure Modes,foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Explain and demonstrate cable ramps trip control and emergency power-down through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
8,DAY_008,1,"Electrical, Lifting, and Screen Safety",Safety and quality review,"Cable Ramps Trip Control And Emergency Power-Down — Safety, Quality, and Verification",foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Complete a supervised applied lab for cable ramps trip control and emergency power-down, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
9,DAY_009,1,"Electrical, Lifting, and Screen Safety",Integration and documentation,"Electrical, Lifting, and Screen Safety — Integration, Documentation, and Handover",foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Integrate the four electrical, lifting, and screen safety skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
10,DAY_010,1,"Electrical, Lifting, and Screen Safety",Assessment and presentation,"Electrical, Lifting, and Screen Safety — Assessment Project",foundation,8,Beyond LED screens | projectors | PPE | approved lifts/stands | distribution tools | checklists,"Plan, execute, verify, present, and safely close an assessment project covering the complete electrical, lifting, and screen safety phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
